Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff,PYds,PRYds
2018-09-09,Cowboys,Panthers,1,12:26,4,22,DAL 13,0-0,Chris Jones punts 55 yards fair catch by Damiere Byrd,,-2.490,-1.070,1.42,55,
2018-09-09,Cowboys,Panthers,1,2:24,4,4,DAL 45,0-0,Chris Jones punts 51 yards returned by Damiere Byrd for 14 yards (tackle by Joe Thomas),,-0.390,-0.040,.35,51,14
2018-09-09,Panthers,Cowboys,2,14:08,4,10,DAL 47,0-0,Michael Palardy punts 33 yards fair catch by Cole Beasley,,0.130,0.280,.15,33,
2018-09-09,Cowboys,Panthers,2,12:33,4,10,DAL 14,0-0,Chris Jones punts 51 yards returned by Damiere Byrd for 30 yards (tackle by Rod Smith),,-2.470,-3.250,-0.78,51,30
2018-09-09,Cowboys,Panthers,2,7:20,4,11,DAL 24,0-7,Chris Jones punts 49 yards returned by Damiere Byrd for 3 yards (tackle by Joe Thomas),,-1.770,-0.940,.83,49,3
2018-09-09,Panthers,Cowboys,2,5:49,4,7,CAR 33,7-0,Michael Palardy punts 50 yards fair catch by Tavon Austin,,-1.180,0.060,1.24,50,
2018-09-09,Cowboys,Panthers,2,2:55,4,7,DAL 36,0-7,Chris Jones punts 56 yards returned by D.J. Moore for 15 yards (tackle by Jamize Olawale). Penalty on Anthony Brown: Unsportsmanlike Conduct 15 yards,,-0.980,-1.470,-0.49,56,15
2018-09-09,Panthers,Cowboys,3,11:54,4,21,CAR 42,10-0,Michael Palardy punts 50 yards fair catch by Tavon Austin,,-0.590,0.380,.97,50,
2018-09-09,Cowboys,Panthers,3,8:23,4,3,CAR 46,0-10,Chris Jones punts 31 yards fair catch by D.J. Moore,,0.200,0.220,.02,31,
2018-09-09,Panthers,Cowboys,3,6:48,4,5,CAR 20,10-0,Michael Palardy punts 50 yards returned by Tavon Austin for 15 yards (tackle by Ian Thomas),,-2.030,-1.930,.10,50,15
2018-09-09,Panthers,Cowboys,4,5:04,4,21,CAR 25,16-8,Michael Palardy punts 52 yards returned by Tavon Austin for -2 yards (tackle by Jared Norris),,-1.700,-0.340,1.36,52,-2
2018-09-09,Panthers,Cowboys,4,2:00,4,10,CAR 48,16-8,Michael Palardy punts 52 yards touchback,,-0.190,-0.280,-0.09,52,
2018-09-09,Steelers,Browns,1,13:35,4,2,PIT 33,0-0,Jordan Berry punts 31 yards out of bounds,,-1.180,-1.330,-0.15,31,
2018-09-09,Browns,Steelers,1,10:11,4,6,PIT 48,0-0,Britton Colquitt punts 48 yards touchback,,0.070,-0.280,-0.35,48,
2018-09-09,Steelers,Browns,1,7:51,4,9,PIT 43,0-0,Jordan Berry punts 43 yards,,-0.520,0.280,.80,43,
2018-09-09,Browns,Steelers,1,6:34,4,9,CLE 25,0-0,Britton Colquitt punts 47 yards returned by Ryan Switzer for 22 yards (tackle by Briean Boddy-Calhoun),,-1.700,-2.260,-0.56,47,22
2018-09-09,Browns,Steelers,1,2:07,4,10,CLE 26,0-0,Britton Colquitt punts 52 yards returned by Ryan Switzer for 34 yards (tackle by Nick Chubb). Penalty on Darrius Heyward-Bey: Offensive Holding 10 yards Penalty on Roosevelt Nix: Offensive Holding (Declined),,-1.630,0.350,1.98,52,34
2018-09-09,Browns,Steelers,2,7:39,4,20,PIT 47,0-7,Britton Colquitt punts 39 yards returned by Ryan Switzer for 4 yards (tackle by Denzel Rice),,0.130,0.350,.22,39,4
2018-09-09,Browns,Steelers,2,2:43,4,10,PIT 46,0-7,Britton Colquitt punts 37 yards,,0.200,0.380,.18,37,
2018-09-09,Browns,Steelers,3,6:18,4,17,CLE 14,7-14,Britton Colquitt punts 45 yards returned by Ryan Switzer for 20 yards (tackle by Derrick Kindred),,-2.470,-2.980,-0.51,45,20
2018-09-09,Browns,Steelers,3,3:35,4,10,PIT 47,7-21,Britton Colquitt punts 33 yards fair catch by Ryan Switzer,,0.130,0.280,.15,33,
2018-09-09,Steelers,Browns,4,12:15,4,6,CLE 34,21-7,Jordan Berry punts 22 yards fair catch by Jabrill Peppers,,1.070,0.350,-0.72,22,
2018-09-09,Browns,Steelers,4,10:58,4,11,CLE 29,7-21,Britton Colquitt punts 57 yards out of bounds,,-1.440,0.280,1.72,57,
2018-09-09,Steelers,Browns,4,8:52,4,13,PIT 11,21-7,Jordan Berry punts 36 yards,,-2.490,-2.460,.03,36,
2018-09-09,Browns,Steelers,4,5:22,4,12,PIT 39,14-21,Britton Colquitt punts 34 yards out of bounds,,0.660,0.380,-0.28,34,
2018-09-09,Steelers,Browns,4,2:20,4,8,PIT 19,21-14,Jordan Berry punts 51 yards returned by Jabrill Peppers for 15 yards (tackle by Jordan Dangerfield),,-2.140,-1.930,.21,51,15
2018-09-09,Steelers,Browns,4,1:37,4,9,PIT 32,21-21,Jordan Berry punts 39 yards fair catch by Jabrill Peppers,,-1.240,-0.870,.37,39,
2018-09-09,Browns,Steelers,5,8:50,4,1,CLE 34,21-21,Britton Colquitt punts 49 yards fair catch by Ryan Switzer,,-1.110,0.060,1.17,49,
2018-09-09,Steelers,Browns,5,5:37,4,20,PIT 28,21-21,Jordan Berry punts 53 yards fair catch by Jabrill Peppers,,-1.500,-0.150,1.35,53,
2018-09-09,Browns,Steelers,5,4:35,4,3,CLE 26,21-21,Britton Colquitt punts 29 yards out of bounds,,-1.630,-1.930,-0.30,29,
2018-09-09,Browns,Steelers,5,1:28,4,10,CLE 32,21-21,Britton Colquitt punts 52 yards returned by Ryan Switzer for 10 yards (tackle by Orson Charles),,-1.240,-0.670,.57,52,10
2018-09-09,Bengals,Colts,2,9:34,4,3,CIN 32,3-10,Kevin Huber punts 46 yards returned by Chester Rogers for no gain,,-1.240,-0.410,.83,46,
2018-09-09,Colts,Bengals,3,13:43,4,18,CLT 17,16-10,Rigoberto Sanchez punts 49 yards returned by Alex Erickson for -1 yards (tackle by Zaire Franklin),,-2.320,-1.140,1.18,49,-1
2018-09-09,Bengals,Colts,3,11:42,4,18,CIN 25,10-16,Kevin Huber punts 50 yards. Penalty on Brandon Wilson: Kick Catch Interference 15 yards,,-1.700,-1.600,.10,50,
2018-09-09,Colts,Bengals,4,10:01,4,2,CLT 33,23-24,Rigoberto Sanchez punts 46 yards fair catch by Alex Erickson,,-1.180,-0.340,.84,46,
2018-09-09,Redskins,Cardinals,1,10:22,4,26,CRD 46,0-0,Tress Way punts 38 yards fair catch by Christian Kirk,,0.200,0.380,.18,38,
2018-09-09,Cardinals,Redskins,1,5:57,4,1,CRD 40,0-0,Andy Lee punts 60 yards touchback,,-0.720,-0.280,.44,60,
2018-09-09,Cardinals,Redskins,2,13:27,4,7,CRD 28,0-7,Andy Lee punts 57 yards returned by Trey Quinn for 12 yards (tackle by Derrick Coleman),,-1.500,-0.740,.76,57,12
2018-09-09,Cardinals,Redskins,2,3:27,4,8,CRD 27,0-14,Andy Lee punts 56 yards fair catch by Trey Quinn. Penalty on Robert Kelley: Offensive Holding 9 yards,,-1.570,0.380,1.95,56,
2018-09-09,Cardinals,Redskins,3,12:59,4,3,WAS 41,0-21,Andy Lee punts 33 yards fair catch by Trey Quinn,,0.530,0.380,-0.15,33,
2018-09-09,Redskins,Cardinals,3,12:20,4,14,WAS 4,21-0,Tress Way punts 55 yards returned by Christian Kirk for 1 yard (tackle by Josh Harvey-Clemons). Penalty on Tre Boston: Offensive Holding 10 yards,,-2.490,-1.000,1.49,55,1
2018-09-09,Cardinals,Redskins,3,11:18,4,11,CRD 30,0-21,Andy Lee punts 57 yards returned by Trey Quinn for 12 yards (tackle by Bene Benwikere). Penalty on Troy Apke: Illegal Block Above the Waist (Declined) Penalty on Fabian Moreau: Unnecessary Roughness 5 yards,,-1.370,0.380,1.75,57,12
2018-09-09,Redskins,Cardinals,3,4:27,4,15,CRD 49,21-0,Tress Way punts 34 yards fair catch by Christian Kirk,,0.000,0.220,.22,34,
2018-09-09,Redskins,Cardinals,4,4:48,4,5,WAS 11,24-6,Tress Way punts 59 yards returned by Christian Kirk for 44 yards (tackle by Troy Apke),,-2.490,-3.840,-1.35,59,44
2018-09-09,Broncos,Seahawks,1,12:23,4,6,DEN 39,0-0,Marquette King punts 45 yards,,-0.780,0.140,.92,45,
2018-09-09,Seahawks,Broncos,1,10:43,4,6,SEA 20,0-0,Michael Dickson punts 60 yards returned by Adam Jones for 24 yards (tackle by Austin Calitro). Penalty on Keishawn Bierria: Offensive Holding 10 yards,,-2.030,0.380,2.41,60,24
2018-09-09,Seahawks,Broncos,1,4:42,4,3,SEA 39,7-7,Michael Dickson punts 59 yards,,-0.780,0.380,1.16,59,
2018-09-09,Broncos,Seahawks,1,0:56,4,3,DEN 43,7-7,Marquette King punts 52 yards out of bounds,,-0.520,0.380,.90,52,
2018-09-09,Seahawks,Broncos,2,8:08,4,9,SEA 26,10-14,Michael Dickson punts 46 yards returned by Adam Jones for 9 yards (tackle by Akeem King),,-1.630,-1.400,.23,46,9
2018-09-09,Seahawks,Broncos,3,13:38,4,1,SEA 25,10-17,Michael Dickson punts 69 yards out of bounds,,-1.700,0.380,2.08,69,
2018-09-09,Broncos,Seahawks,3,9:06,4,11,DEN 30,17-10,Marquette King punts 53 yards returned by Tyler Lockett for 9 yards (tackle by Joseph Jones),,-1.370,-0.670,.70,53,9
2018-09-09,Broncos,Seahawks,3,3:51,4,5,DEN 37,17-17,Marquette King punts 41 yards returned by Tyler Lockett for -2 yards (tackle by Phillip Lindsay),,-0.910,-0.280,.63,41,-2
2018-09-09,Seahawks,Broncos,4,8:38,4,16,SEA 30,24-27,Michael Dickson punts 57 yards out of bounds,,-1.370,0.320,1.69,57,
2018-09-09,Broncos,Seahawks,4,5:14,4,2,DEN 33,27-24,Marquette King punts 49 yards returned by Tyler Lockett for 4 yards (tackle by Tim Patrick),,-1.180,-0.410,.77,49,4
2018-09-09,Seahawks,Broncos,4,3:40,4,14,SEA 18,24-27,Michael Dickson punts 63 yards,,-2.240,-0.150,2.09,63,
2018-09-09,Broncos,Seahawks,4,1:08,4,5,SEA 39,27-24,Marquette King punts 27 yards out of bounds,,0.660,0.350,-0.31,27,
2018-09-09,Packers,Bears,1,13:22,4,10,GNB 37,0-0,JK Scott punts 39 yards out of bounds. Penalty on Josh Bellamy: Offensive Holding 10 yards,,-0.910,0.280,1.19,39,
2018-09-09,Packers,Bears,1,4:25,4,8,GNB 27,0-7,JK Scott punts 44 yards returned by Tarik Cohen for 3 yards (tackle by Jermaine Whitehead),,-1.570,-1.070,.50,44,3
2018-09-09,Packers,Bears,2,12:56,4,1,GNB 34,0-10,JK Scott punts 51 yards fair catch by Tarik Cohen,,-1.110,0.220,1.33,51,
2018-09-09,Bears,Packers,2,10:25,4,6,CHI 19,10-0,Pat O'Donnell punts 63 yards returned by Randall Cobb for 17 yards (tackle by Benny Cunningham),,-2.140,-1.270,.87,63,17
2018-09-09,Packers,Bears,2,9:05,4,18,GNB 27,0-10,JK Scott punts 58 yards returned by Tarik Cohen for 42 yards (tackle by Hunter Bradley),,-1.570,-2.720,-1.15,58,42
2018-09-09,Bears,Packers,2,1:56,4,5,CHI 26,10-0,Pat O'Donnell punts 49 yards fair catch by Randall Cobb,,-1.630,-0.610,1.02,49,
2018-09-09,Bears,Packers,3,2:02,4,2,CHI 33,20-3,Pat O'Donnell punts 48 yards fair catch by Randall Cobb,,-1.180,-0.150,1.03,48,
2018-09-09,Bears,Packers,4,12:00,4,1,CHI 34,20-10,Pat O'Donnell punts 41 yards fair catch by Randall Cobb,,-1.110,-0.610,.50,41,
2018-09-09,Dolphins,Titans,1,7:46,4,4,MIA 38,0-3,Matt Haack punts 62 yards touchback,,-0.850,-0.280,.57,62,
2018-09-09,Titans,Dolphins,2,8:17,4,3,OTI 45,3-7,Brett Kern punts 40 yards out of bounds,,-0.390,0.220,.61,40,
2018-09-09,Titans,Dolphins,2,0:30,4,9,OTI 27,3-7,Brett Kern punts 55 yards returned by Jakeem Grant for -1 yards (tackle by David Fluellen),,-1.570,0.060,1.63,55,-1
2018-09-09,Dolphins,Titans,3,13:45,4,3,MIA 32,7-3,Matt Haack punts 45 yards returned by Adoree' Jackson for 26 yards (tackle by Brandon Bolden),,-1.240,-2.190,-0.95,45,26
2018-09-09,Titans,Dolphins,3,12:10,4,4,MIA 45,3-7,Brett Kern punts 35 yards fair catch by Danny Amendola,,0.270,0.380,.11,35,
2018-09-09,Dolphins,Titans,3,10:09,4,2,MIA 18,7-3,Matt Haack punts 65 yards returned by Rishard Matthews for 18 yards (tackle by Walt Aikens),,-2.240,-1.270,.97,65,18
2018-09-09,Titans,Dolphins,4,11:45,4,6,OTI 42,10-17,Brett Kern punts 49 yards returned by Danny Amendola for 2 yards (tackle by Dane Cruikshank),,-0.590,0.370,.96,49,2
2018-09-09,Dolphins,Titans,4,1:15,4,10,OTI 43,27-17,Matt Haack punts 43 yards touchback,,0.400,-0.280,-0.68,43,
2018-09-09,Vikings,49ers,1,9:36,4,14,SFO 38,0-0,Matt Wile punts 34 yards,,0.720,0.380,-0.34,34,
2018-09-09,49ers,Vikings,1,7:23,4,7,SFO 22,0-0,Bradley Pinion punts 48 yards fair catch by Marcus Sherels,,-1.900,-0.940,.96,48,
2018-09-09,49ers,Vikings,1,1:20,4,15,SFO 20,0-3,Bradley Pinion punts 41 yards returned by Marcus Sherels for 8 yards (tackle by Garrett Celek),,-2.030,-2.060,-0.03,41,8
2018-09-09,49ers,Vikings,3,14:24,4,9,SFO 26,3-10,Bradley Pinion punts 43 yards returned by Marcus Sherels for -1 yards (tackle by Raheem Mostert),,-1.630,-0.940,.69,43,-1
2018-09-09,Vikings,49ers,4,14:56,4,8,MIN 27,24-13,Matt Wile punts 56 yards returned by Dante Pettis for 14 yards (tackle by Ben Gedeon),,-1.570,-1.000,.57,56,14
2018-09-09,Vikings,49ers,4,13:54,4,11,SFO 39,24-13,Matt Wile punts 25 yards,,0.660,0.280,-0.38,25,
2018-09-09,Vikings,49ers,4,7:16,4,9,MIN 26,24-16,Matt Wile punts 29 yards out of bounds,,-1.630,-1.930,-0.30,29,
2018-09-09,49ers,Vikings,4,5:54,4,15,SFO 40,16-24,Bradley Pinion punts 42 yards returned by Marcus Sherels for no gain,,-0.720,-0.040,.68,42,
2018-09-09,Vikings,49ers,4,1:56,4,6,50,24-16,Matt Wile punts 39 yards fair catch by Dante Pettis,,-0.060,0.370,.43,39,
2018-09-09,Saints,Buccaneers,2,9:51,4,11,NOR 24,17-17,Thomas Morstead punts 56 yards returned by DeSean Jackson for 2 yards (tackle by Chris Banjo),,-1.770,-0.410,1.36,56,2
2018-09-09,Saints,Buccaneers,3,9:21,4,1,NOR 34,24-34,Thomas Morstead punts 42 yards returned by Adam Humphries for 1 yard (tackle by Justin Hardee),,-1.110,-0.610,.50,42,1
2018-09-09,Buccaneers,Saints,3,7:42,4,1,TAM 34,34-24,Bryan Anger punts 42 yards returned by Tommylee Lewis for no gain. Penalty on Craig Robertson: Offensive Holding 10 yards,,-1.110,0.280,1.39,42,
2018-09-09,Saints,Buccaneers,3,5:18,4,3,NOR 32,24-34,Thomas Morstead punts 58 yards returned by Adam Humphries for 16 yards (tackle by Chris Banjo),,-1.240,-0.670,.57,58,16
2018-09-09,Patriots,Texans,1,13:13,4,2,NWE 33,0-0,Ryan Allen punts 45 yards,,-1.180,-0.410,.77,45,
2018-09-09,Texans,Patriots,1,10:28,4,6,HTX 31,0-7,Trevor Daniel punts 36 yards out of bounds,,-1.310,-1.140,.17,36,
2018-09-09,Patriots,Texans,1,7:58,4,3,HTX 49,7-0,Ryan Allen punts 40 yards fair catch by Tyler Ervin,,0.000,0.380,.38,40,
2018-09-09,Texans,Patriots,1,5:45,4,6,NWE 43,0-7,Trevor Daniel punts 37 yards fair catch by id_0,,0.400,0.380,-0.02,37,
2018-09-09,Patriots,Texans,2,7:17,4,10,NWE 30,14-6,Ryan Allen punts 47 yards returned by Tyler Ervin for 11 yards (tackle by Jonathan Jones),,-1.370,-1.200,.17,47,11
2018-09-09,Patriots,Texans,2,4:34,4,4,NWE 26,14-6,Ryan Allen punts 40 yards,,-1.630,-1.200,.43,40,
2018-09-09,Texans,Patriots,2,1:39,4,7,HTX 48,6-14,Trevor Daniel punts 30 yards,,-0.190,-0.410,-0.22,30,
2018-09-09,Texans,Patriots,3,13:00,4,1,HTX 37,6-21,Trevor Daniel punts 42 yards fair catch by id_0,,-0.910,-0.340,.57,42,
2018-09-09,Texans,Patriots,4,7:15,4,9,NWE 49,13-27,Trevor Daniel punts 37 yards fair catch by id_0,,0.000,0.350,.35,37,
2018-09-09,Patriots,Texans,4,5:27,4,2,NWE 20,27-13,Ryan Allen punts 55 yards returned by Tyler Ervin for 9 yards (tackle by Nate Ebner),,-2.030,-1.200,.83,55,9
2018-09-09,Patriots,Texans,4,0:51,4,2,NWE 45,27-20,Ryan Allen punts 54 yards,,-0.390,0.380,.77,54,
2018-09-09,Giants,Jaguars,1,7:18,4,7,NYG 17,0-3,Riley Dixon punts 48 yards,,-2.320,-1.270,1.05,48,
2018-09-09,Giants,Jaguars,2,5:27,4,9,NYG 26,3-6,Riley Dixon punts 31 yards out of bounds,,-1.630,-1.800,-0.17,31,
2018-09-09,Jaguars,Giants,3,7:50,4,19,JAX 16,13-9,Logan Cooke punts 30 yards out of bounds,,-2.390,-2.520,-0.13,30,
2018-09-09,Jaguars,Giants,3,5:07,4,8,NYG 48,13-9,Logan Cooke punts 37 yards,,0.070,0.370,.30,37,
2018-09-09,Giants,Jaguars,3,3:39,4,10,NYG 25,9-13,Riley Dixon punts 55 yards returned by Jaydon Mickens for -4 yards (tackle by Curtis Riley). Penalty on Blair Brown: Illegal Block Above the Waist 8 yards,,-1.700,0.380,2.08,55,-4
2018-09-09,Jaguars,Giants,3,1:24,4,3,NYG 44,13-9,Logan Cooke punts 29 yards out of bounds,,0.330,0.220,-0.11,29,
2018-09-09,Giants,Jaguars,4,13:55,4,7,NYG 41,9-13,Riley Dixon punts 59 yards touchback,,-0.650,-0.280,.37,59,
2018-09-09,Jaguars,Giants,4,12:20,4,7,JAX 37,13-9,Logan Cooke punts 36 yards fair catch by Kaelin Clay,,-0.910,-0.740,.17,36,
2018-09-09,Jaguars,Giants,4,9:18,4,6,JAX 29,20-15,Logan Cooke punts 44 yards returned by Kaelin Clay for -1 yards (tackle by DJ Chark),,-1.440,-0.670,.77,44,-1
2018-09-09,Giants,Jaguars,4,7:04,4,5,NYG 31,15-20,Riley Dixon punts 54 yards returned by Jaydon Mickens for 10 yards (tackle by Kerry Wynn),,-1.310,-0.610,.70,54,10
2018-09-09,Jaguars,Giants,4,4:20,4,7,JAX 39,20-15,Logan Cooke punts 47 yards returned by Kaelin Clay for 5 yards (tackle by Niles Paul),,-0.780,-0.150,.63,47,5
2018-09-09,Bills,Ravens,1,7:25,4,14,BUF 28,0-7,Corey Bojorquez punts 46 yards returned by Janarion Grant for -1 yards (tackle by Patrick DiMarco),,-1.500,-0.610,.89,46,-1
2018-09-09,Ravens,Bills,1,6:37,4,9,RAV 26,7-0,Sam Koch punts 63 yards returned by Jeremy Kerley for 4 yards (tackle by Tyus Bowser),,-1.630,0.220,1.85,63,4
2018-09-09,Bills,Ravens,1,5:43,4,7,BUF 18,0-7,Corey Bojorquez punts 51 yards returned by Janarion Grant for 3 yards (tackle by Lorenzo Alexander),,-2.240,-1.200,1.04,51,3
2018-09-09,Bills,Ravens,2,14:21,4,13,BUF 22,0-14,Corey Bojorquez punts 49 yards returned by Janarion Grant for 51 yards (tackle by Lorenzo Alexander),,-1.900,-4.240,-2.34,49,51
2018-09-09,Bills,Ravens,2,12:09,4,14,BUF 21,0-17,Corey Bojorquez punts 50 yards returned by Janarion Grant for 1 yard (tackle by Andre Holmes),,-1.960,-0.940,1.02,50,1
2018-09-09,Ravens,Bills,2,7:05,4,12,RAV 40,17-0,Sam Koch punts 44 yards,,-0.720,0.140,.86,44,
2018-09-09,Bills,Ravens,3,10:10,4,11,BUF 24,0-40,Corey Bojorquez punts 46 yards out of bounds,,-1.770,-0.940,.83,46,
2018-09-09,Ravens,Bills,3,8:22,4,17,RAV 23,40-0,Sam Koch punts 46 yards returned by Jeremy Kerley for 6 yards (tackle by Maurice Canady),,-1.830,-1.400,.43,46,6
2018-09-09,Ravens,Bills,4,14:47,4,5,RAV 41,40-3,Sam Koch punts 50 yards returned by Marcus Murphy for 9 yards (tackle by Maurice Canady),,-0.650,-0.040,.61,50,9
2018-09-09,Bills,Ravens,4,12:05,4,8,BUF 35,3-40,Corey Bojorquez punts 54 yards returned by Janarion Grant for no gain,,-1.040,0.370,1.41,54,
2018-09-09,Bills,Ravens,4,3:02,4,12,BUF 47,3-47,Corey Bojorquez punts 43 yards fair catch by Janarion Grant,,-0.260,0.380,.64,43,
2018-09-09,Ravens,Bills,4,1:36,4,3,RAV 17,47-3,Sam Koch punts 54 yards out of bounds,,-2.320,-0.870,1.45,54,
2018-09-09,Chargers,Chiefs,1,13:24,4,1,SDG 34,0-6,Drew Kaser punts 57 yards returned by Tyreek Hill for 91 yards touchdown,,-1.110,-7.000,-5.89,57,91
2018-09-09,Chargers,Chiefs,1,5:12,4,16,KAN 36,3-14,Caleb Sturgis punts 24 yards,,0.880,0.350,-0.53,24,
2018-09-09,Chiefs,Chargers,1,4:11,4,6,KAN 16,14-3,Dustin Colquitt punts 44 yards fair catch by JJ Jones,,-2.390,-1.600,.79,44,
